ANO,MES_NUM,MES,AGUASCALIENTES,BAJA CALIFORNIA,BAJA CALIFORNIA SUR,CAMPECHE,COAHUILA,COLIMA,CHIAPAS,CHIHUAHUA,CIUDAD DE MEXICO,DURANGO,GUANAJUATO,GUERRERO,HIDALGO,JALISCO,MEXICO,MICHOACAN,MORELOS,NAYARIT,NUEVO LEON,OAXACA,PUEBLA,QUERETARO,QUINTANA ROO,SAN LUIS POTOSI,SINALOA,SONORA,TABASCO,TAMAULIPAS,TLAXCALA,VERACRUZ,YUCATAN,ZACATECAS
2004,1,ENERO,1041500,2782348.8,487198.8,741187.8,2444561.8,551484.2,4192834.8,3208439.8,8694883.2,1484353.6,4775300,3060488.8,2281613.2,6632399.2,13773821.6,3889080.2,1580033.4,922625,4108458.8,3447792.8,5303793.8,1552179.4,1097255.2,2375393.2,2576578.2,2341337.2,1940242.2,2975374.8,1047861.2,7003618,1791622.2,1343096.8
2004,2,FEBRERO ,1043493,2787525.483,489279.7333,742316.3167,2448781.65,552860.1833,4201220.15,3211190.15,8697052.6,1486417.217,4785176,3065048.233,2286938.267,6642375.35,13793294.38,3895496.267,1582772.2,924879.9167,4116028.233,3452711.817,5310405.4,1556009.367,1100426.35,2378311.6,2579233.517,2345797.517,1944386.1,2979446.733,1049556.683,7012501,1793899.35,1345146.4
2004,3,MARZO,1045486,2792702.167,491360.6667,743444.8333,2453001.5,554236.1667,4209605.5,3213940.5,8699222,1488480.833,4795052,3069607.667,2292263.333,6652351.5,13812767.17,3901912.333,1585511,927134.8333,4123597.667,3457630.833,5317017,1559839.333,1103597.5,2381230,2581888.833,2350257.833,1948530,2983518.667,1051252.167,7021384,1796176.5,1347196
2004,4,ABRIL,1047479,2797878.85,493441.6,744573.35,2457221.35,555612.15,4217990.85,3216690.85,8701391.4,1490544.45,4804928,3074167.1,2297588.4,6662327.65,13832239.95,3908328.4,1588249.8,929389.75,4131167.1,3462549.85,5323628.6,1563669.3,1106768.65,2384148.4,2584544.15,2354718.15,1952673.9,2987590.6,1052947.65,7030267,1798453.65,1349245.6
2004,5,MAYO,1049472,2803055.533,495522.5333,745701.8667,2461441.2,556988.1333,4226376.2,3219441.2,8703560.8,1492608.067,4814804,3078726.533,2302913.467,6672303.8,13851712.73,3914744.467,1590988.6,931644.6667,4138736.533,3467468.867,5330240.2,1567499.267,1109939.8,2387066.8,2587199.467,2359178.467,1956817.8,2991662.533,1054643.133,7039150,1800730.8,1351295.2
2004,6,JUNIO,1051465,2808232.217,497603.4667,746830.3833,2465661.05,558364.1167,4234761.55,3222191.55,8705730.2,1494671.683,4824680,3083285.967,2308238.533,6682279.95,13871185.52,3921160.533,1593727.4,933899.5833,4146305.967,3472387.883,5336851.8,1571329.233,1113110.95,2389985.2,2589854.783,2363638.783,1960961.7,2995734.467,1056338.617,7048033,1803007.95,1353344.8
2004,7,JULIO,1053458,2813408.9,499684.4,747958.9,2469880.9,559740.1,4243146.9,3224941.9,8707899.6,1496735.3,4834556,3087845.4,2313563.6,6692256.1,13890658.3,3927576.6,1596466.2,936154.5,4153875.4,3477306.9,5343463.4,1575159.2,1116282.1,2392903.6,2592510.1,2368099.1,1965105.6,2999806.4,1058034.1,7056916,1805285.1,1355394.4
2004,8,AGOSTO,1055451,2818585.583,501765.3333,749087.4167,2474100.75,561116.0833,4251532.25,3227692.25,8710069,1498798.917,4844432,3092404.833,2318888.667,6702232.25,13910131.08,3933992.667,1599205,938409.4167,4161444.833,3482225.917,5350075,1578989.167,1119453.25,2395822,2595165.417,2372559.417,1969249.5,3003878.333,1059729.583,7065799,1807562.25,1357444
2004,9,SEPTIEMBRE,1057444,2823762.267,503846.2667,750215.9333,2478320.6,562492.0667,4259917.6,3230442.6,8712238.4,1500862.533,4854308,3096964.267,2324213.733,6712208.4,13929603.87,3940408.733,1601943.8,940664.3333,4169014.267,3487144.933,5356686.6,1582819.133,1122624.4,2398740.4,2597820.733,2377019.733,1973393.4,3007950.267,1061425.067,7074682,1809839.4,1359493.6
2004,10,OCTUBRE,1059437,2828938.95,505927.2,751344.45,2482540.45,563868.05,4268302.95,3233192.95,8714407.8,1502926.15,4864184,3101523.7,2329538.8,6722184.55,13949076.65,3946824.8,1604682.6,942919.25,4176583.7,3492063.95,5363298.2,1586649.1,1125795.55,2401658.8,2600476.05,2381480.05,1977537.3,3012022.2,1063120.55,7083565,1812116.55,1361543.2
