año,pob_1,pob_2,pob_3,pob_9,pob_4,pob_7,pob_8,pob_5,pob_6,pob_10,pob_total,pob_11,pob_12,pob_13,pob_14,pob_16,pob_17,pob_15,pob_18,pob_19,pob_20,pob_21,pob_22,pob_23,pob_24,pob_25,pob_26,pob_27,pob_28,pob_29,pob_30,pob_31,pob_32
2005m1,690851,1822210,341597,6418438,509989,2627814,2116027,1689560,386079,991890,68802560,3185978,1947210,1565206,4484515,2606609,1073434,9241780,641682,2935240,2264935,3478730,1043681,677442,1581636,1746010,1615822,1330791,2059108,709044,4858837,1252562,907857
2005m2,692782.2667,1828769.15,343390.6667,6423389.3,511147.75,2635602.65,2119435.283,1693288.267,387396.0667,993838.3833,68962906.27,3195345.567,1952166.1,1570026.733,4495233.033,2613122.533,1076581.333,9265007,643691.45,2941838.717,2270385.517,3486153.6,1047451.833,681565.55,1584874.633,1749733.367,1620131.417,1334346.083,2062526.7,710667.5833,4868117.317,1255153.65,909750.7
2005m3,694713.5333,1835328.3,345184.3333,6428340.6,512306.5,2643391.3,2122843.567,1697016.533,388713.1333,995786.7667,69123252.53,3204713.133,1957122.2,1574847.467,4505951.067,2619636.067,1079728.667,9288234,645700.9,2948437.433,2275836.033,3493577.2,1051222.667,685689.1,1588113.267,1753456.733,1624440.833,1337901.167,2065945.4,712291.1667,4877397.633,1257745.3,911644.4
2005m4,696644.8,1841887.45,346978,6433291.9,513465.25,2651179.95,2126251.85,1700744.8,390030.2,997735.15,69283598.8,3214080.7,1962078.3,1579668.2,4516669.1,2626149.6,1082876,9311461,647710.35,2955036.15,2281286.55,3501000.8,1054993.5,689812.65,1591351.9,1757180.1,1628750.25,1341456.25,2069364.1,713914.75,4886677.95,1260336.95,913538.1
2005m5,698576.0667,1848446.6,348771.6667,6438243.2,514624,2658968.6,2129660.133,1704473.067,391347.2667,999683.5333,69443945.07,3223448.267,1967034.4,1584488.933,4527387.133,2632663.133,1086023.333,9334688,649719.8,2961634.867,2286737.067,3508424.4,1058764.333,693936.2,1594590.533,1760903.467,1633059.667,1345011.333,2072782.8,715538.3333,4895958.267,1262928.6,915431.8
2005m6,700507.3333,1855005.75,350565.3333,6443194.5,515782.75,2666757.25,2133068.417,1708201.333,392664.3333,1001631.917,69604291.33,3232815.833,1971990.5,1589309.667,4538105.167,2639176.667,1089170.667,9357915,651729.25,2968233.583,2292187.583,3515848,1062535.167,698059.75,1597829.167,1764626.833,1637369.083,1348566.417,2076201.5,717161.9167,4905238.583,1265520.25,917325.5
2005m7,702438.6,1861564.9,352359,6448145.8,516941.5,2674545.9,2136476.7,1711929.6,393981.4,1003580.3,69764637.6,3242183.4,1976946.6,1594130.4,4548823.2,2645690.2,1092318,9381142,653738.7,2974832.3,2297638.1,3523271.6,1066306,702183.3,1601067.8,1768350.2,1641678.5,1352121.5,2079620.2,718785.5,4914518.9,1268111.9,919219.2
2005m8,704369.8667,1868124.05,354152.6667,6453097.1,518100.25,2682334.55,2139884.983,1715657.867,395298.4667,1005528.683,69924983.87,3251550.967,1981902.7,1598951.133,4559541.233,2652203.733,1095465.333,9404369,655748.15,2981431.017,2303088.617,3530695.2,1070076.833,706306.85,1604306.433,1772073.567,1645987.917,1355676.583,2083038.9,720409.0833,4923799.217,1270703.55,921112.9
2005m9,706301.1333,1874683.2,355946.3333,6458048.4,519259,2690123.2,2143293.267,1719386.133,396615.5333,1007477.067,70085330.13,3260918.533,1986858.8,1603771.867,4570259.267,2658717.267,1098612.667,9427596,657757.6,2988029.733,2308539.133,3538118.8,1073847.667,710430.4,1607545.067,1775796.933,1650297.333,1359231.667,2086457.6,722032.6667,4933079.533,1273295.2,923006.6
2005m10,708232.4,1881242.35,357740,6462999.7,520417.75,2697911.85,2146701.55,1723114.4,397932.6,1009425.45,70245676.4,3270286.1,1991814.9,1608592.6,4580977.3,2665230.8,1101760,9450823,659767.05,2994628.45,2313989.65,3545542.4,1077618.5,714553.95,1610783.7,1779520.3,1654606.75,1362786.75,2089876.3,723656.25,4942359.85,1275886.85,924900.3
